character;quote
Abe Simpson;I used to be with it. But then they changed what it was. Now what I'm with isn't it, and what's it seems scary and wierd. It'll happen to you.
Moe Szyslak;When I catch you, I'm gonna pull out your eyes and stick 'em down your pants so you can watch me kick the crap outta you, okay? Next I'm gonna use your tongue to paint my boat!
Chief Wiggum;"When I look at people I don't see colors; I just see crackpot religions."
Bart Simpson;Nothing you say can upset us. We're the MTV generation.
Ralph Wiggum;Me fail English? That's unpossible.
Principal Skinner;Hello, Simpson. I'm riding the bus today becuase Mother hid my car keys to punish me for talking to a woman on the phone. She was right to do it.
Mayor Quimby;Can't we have one meeting that doesn't end with us digging up a corpse?
Comic Book Guy;Last night's 'Itchy and Scratchy' was, without a doubt, the worst episode ever. Rest assured that I was on the Internet within minutes, registering my disgust throughout the world.
Dr. Nick;Inflammable means flammable? What a country!
Comic Book Guy;Last night's 'Itchy and Scratchy' was, without a doubt, the worst episode ever. Rest assured that I was on the Internet within minutes, registering my disgust throughout the world.
Dr. Nick;Ah, be creative. Instead of making sandwhiches with bread, use Pop-Tarts. Instead of chewing gum, chew bacon.
Apu Nahasapeemapetilon;By chilling my loins I increase the chances of impregnating my wife.
Ralph Wiggum;Me fail English? That's unpossible.
Milhouse Van Houten;Remember the time he ate my goldfish? And you lied and said I never had a goldfish. Then why did I have the bowl, Bart? Why did I have the bowl?
Dr. Nick;Ah, be creative. Instead of making sandwhiches with bread, use Pop-Tarts. Instead of chewing gum, chew bacon.
Moe Szyslak;Yeah. Call this an unfair generalization if you must.. but old people are no good at everything
Milhouse Van Houten;But my mom says I'm cool.
Bart Simpson;Eat my shorts
Milhouse Van Houten;But my mom says I'm cool.
Moe Szyslak;Well, I'm better than dirt. Well, most kinds of dirt. I mean not that fancy store bought dirt. That stuffs loaded with nutrients. I.. I can't compete with that stuff.
Dr. Nick;Ah, be creative. Instead of making sandwhiches with bread, use Pop-Tarts. Instead of chewing gum, chew bacon.
Mayor Quimby;Can't we have one meeting that doesn't end with us digging up a corpse?
Bart Simpson;Nothing you say can upset us. We're the MTV generation.
Troy McClure;Ahh! Sweet liquor eases the pain.
Abe Simpson;Why are you pleople avoiding me? Does my withered face remind you of the grim specter of death?
Ralph Wiggum;Oh boy, sleep! That's where I'm a viking!
Rainier Wolfcastle;My eyes! The goggles do nothing!
Troy McClure;Ahh! Sweet liquor eases the pain.
Bart Simpson;Eat my shorts
Rainier Wolfcastle;My eyes! The goggles do nothing!
Ralph Wiggum;That's where I saw the leprechaun...He told me to burn things.
Dr. Nick;Inflammable means flammable? What a country!
Marge Simpson;I don't want to sound like a killjoy, but becuase this is not to my taste I don't think anyone else should be allowed to enjoy it.
Ralph Wiggum;Oh boy, sleep! That's where I'm a viking!
Comic Book Guy;"Last night's ""Itchy & Scratchy"" was, without a doubt, the worst episode ever. Rest assured that I was on the Internet within minutes, registering my disgust throughout the world."
Abe Simpson;Why are you pleople avoiding me? Does my withered face remind you of the grim specter of death?
Waylon Smithers;I think women and seamen don't mix
Abe Simpson;I used to be with it. But then they changed what it was. Now what I'm with isn't it, and what's it seems scary and wierd. It'll happen to you.
Moe Szyslak;When I catch you, I'm gonna pull out your eyes and stick 'em down your pants so you can watch me kick the crap outta you, okay? Next I'm gonna use your tongue to paint my boat!
Rainier Wolfcastle;My eyes! The goggles do nothing!
Troy McClure;Ahh! Sweet liquor eases the pain.
Abe Simpson;Why are you pleople avoiding me? Does my withered face remind you of the grim specter of death?
Mayor Quimby;Can't we have one meeting that doesn't end with us digging up a corpse?
Ralph Wiggum;They taste like...burning.
Troy McClure;Ahh! Sweet liquor eases the pain.
Moe Szyslak;When I catch you, I'm gonna pull out your eyes and stick 'em down your pants so you can watch me kick the crap outta you, okay? Next I'm gonna use your tongue to paint my boat!
Bart Simpson;Eat my shorts
Ralph Wiggum;Me fail English? That's unpossible.
Groundskeeper Willie;Back in Edinburg, we had a coal miners strike. All we wanted were hats with a wee light on top. Then one day the mine collapsed. No one made it out alive, not even Willie!
Comic Book Guy;Last night's 'Itchy and Scratchy' was, without a doubt, the worst episode ever. Rest assured that I was on the Internet within minutes, registering my disgust throughout the world.
Nelson Muntz;Shoplifting is a victimless crime, like punching someone in the dark.
