character;quote
Homer Simpson;I believe the children are the future... Unless we stop them now!
Homer Simpson;All I'm gonna use this bed for is sleeping, eating and maybe building a little fort.
Homer Simpson;Facts are meaningless. You could use facts to prove anything that's even remotely true.
Homer Simpson;Gah, stupid sexy Flanders!
Homer Simpson;Facts are meaningless. You could use facts to prove anything that's even remotely true.
Homer Simpson;Gah, stupid sexy Flanders!
Homer Simpson;I hope I didn't brain my damage.
Homer Simpson;All I'm gonna use this bed for is sleeping, eating and maybe building a little fort.
Homer Simpson;I can't even say the word 'titmouse' without gigggling like a schoolgirl.
Homer Simpson;In theory, Communism works! In theory.
Homer Simpson;Oh, so they have Internet on computers now!
